order_id,customer_id,sku_id,data_pedido,canal,categoria,produto,quantidade,preco_unitario,receita_bruta,desconto_reais,receita_liquida,custo_produto,custo_frete,metodo_pagamento,status_pagamento,margem_contribuicao,tempo_entrega_real,devolvido,motivo_devolucao
ORD-052155,CLI-11830,SKU-01215,2023-01-01 20:44:49,Orgânico,Acessórios,Pochete Urban Preto,6,209.86,1259.16,0.0,1259.16,475.44,0.0,PIX,Cancelado,783.72,3,False,Não se aplica
ORD-002605,CLI-01729,SKU-04796,2023-01-01 21:17:21,Marketplace,Moda,Calça Jeans Sport Branco,2,240.47,480.94,126.63,354.31,180.14,59.6,Cartão de Crédito,Aprovado,114.57,8,False,Não se aplica
ORD-004152,CLI-06351,SKU-00786,2023-01-01 21:22:02,Google Ads,Moda,Jaqueta Urban Branco,5,182.6,913.0,347.55,565.45,385.41,0.0,Cartão de Crédito,Aprovado,180.04,10,False,Não se aplica
ORD-077986,CLI-01729,SKU-02618,2023-01-01 21:31:35,TikTok Ads,Acessórios,Meias Moderno Branco,5,538.36,2691.8,0.0,2691.8,960.89,0.0,PIX,Aprovado,1730.91,4,False,Não se aplica
ORD-015715,CLI-11830,SKU-03989,2023-01-01 21:40:57,Google Ads,Beleza,Creme Hidratante Edição Limitada Preto,2,94.48,188.96,19.54,169.42,83.43,6.6,PIX,Aprovado,79.39,6,False,Não se aplica
ORD-022614,CLI-11830,SKU-04504,2023-01-01 22:16:11,Influenciador,Lifestyle,Caderno Luxo Prata,4,132.22,528.88,43.53,485.35,206.79,0.0,Cartão de Crédito,Aprovado,278.56,11,False,Não se aplica
ORD-074233,CLI-11830,SKU-03674,2023-01-01 22:41:14,Influenciador,Lifestyle,Garrafa Térmica Luxo Vermelho,2,203.57,407.14,0.0,407.14,157.36,0.0,Cartão de Crédito,Aprovado,249.78,12,False,Não se aplica
ORD-007008,CLI-11830,SKU-03401,2023-01-01 22:59:12,Orgânico,Lifestyle,Kit Chá Artesanal Branco,3,257.32,771.96,0.0,771.96,347.29,0.0,Cartão de Crédito,Aprovado,424.67,5,False,Não se aplica
ORD-044067,CLI-11830,SKU-04798,2023-01-01 23:14:06,TikTok Ads,Beleza,Condicionador Luxo Nude,2,223.95,447.9,0.0,447.9,222.71,0.0,Boleto,Aprovado,225.19,6,False,Não se aplica
ORD-002903,CLI-11830,SKU-01152,2023-01-01 23:40:32,Marketplace,Lifestyle,Relógio de Parede Clássico Preto,6,78.29,469.74,80.94,388.8,167.52,7.44,Cartão de Crédito,Aprovado,213.84,18,False,Não se aplica
ORD-071535,CLI-09097,SKU-00534,2023-01-02 00:05:30,Email Marketing,Moda,Vestido Slim Branco,3,234.6,703.8,0.0,703.8,212.68,0.0,PIX,Aprovado,491.12,3,False,Não se aplica
ORD-077422,CLI-06160,SKU-04498,2023-01-02 00:42:22,Marketplace,Beleza,Óleo Corporal Luxo Branco,5,96.82,484.1,0.0,484.1,178.12,27.51,Boleto,Aprovado,278.47,10,False,Não se aplica
ORD-048933,CLI-01729,SKU-03083,2023-01-02 00:47:36,Email Marketing,Acessórios,Chapéu Artesanal Bege,1,133.05,133.05,35.85,97.2,45.86,28.58,Cartão de Crédito,Aprovado,22.76,3,False,Não se aplica
ORD-050794,CLI-05277,SKU-04454,2023-01-02 00:54:44,Influenciador,Moda,Camiseta Urban Branco,4,110.78,443.12,147.04,296.08,150.53,0.0,PIX,Aprovado,145.55,8,False,Não se aplica
ORD-053691,CLI-02474,SKU-01348,2023-01-02 01:57:33,Google Ads,Moda,Camiseta Artesanal Verde,2,247.33,494.66,0.0,494.66,179.41,0.0,Cartão de Crédito,Aprovado,315.25,14,False,Não se aplica
ORD-063558,CLI-07957,SKU-01705,2023-01-02 02:01:05,Marketplace,Moda,Camiseta Clássico Prata,6,271.04,1626.24,365.07,1261.17,611.42,44.96,Cartão de Crédito,Aprovado,604.79,17,False,Não se aplica
ORD-009439,CLI-06160,SKU-00522,2023-01-02 02:18:49,Orgânico,Lifestyle,Almofada Sport Vermelho,5,171.69,858.45,0.0,858.45,294.34,0.0,Cartão de Crédito,Cancelado,564.11,2,True,Atraso na entrega
ORD-022739,CLI-01729,SKU-04407,2023-01-02 03:03:03,Google Ads,Beleza,Blush Delicado Vermelho,5,394.73,1973.65,0.0,1973.65,911.24,0.0,PIX,Aprovado,1062.41,8,True,Tamanho errado
ORD-017309,CLI-11830,SKU-02288,2023-01-02 03:14:03,Marketplace,Acessórios,Óculos de Sol Básico Bege,6,174.57,1047.42,126.07,921.35,377.47,45.69,Cartão de Crédito,Aprovado,498.19,7,False,Não se aplica
ORD-034674,CLI-01729,SKU-03463,2023-01-02 04:16:06,Marketplace,Beleza,Óleo Corporal Edição Limitada Bege,6,230.22,1381.32,0.0,1381.32,612.93,7.98,Boleto,Aprovado,760.41,6,False,Não se aplica
ORD-004979,CLI-01729,SKU-02758,2023-01-02 04:22:53,Email Marketing,Beleza,Condicionador Sustentável Rosa,3,276.04,828.12,0.0,828.12,312.79,0.0,PIX,Aprovado,515.33,13,False,Não se aplica
ORD-039055,CLI-01729,SKU-00604,2023-01-02 04:35:22,Email Marketing,Acessórios,Pulseira Oversize Vermelho,5,450.05,2250.25,0.0,2250.25,920.6,0.0,Cartão de Crédito,Aprovado,1329.65,10,False,Não se aplica
ORD-068496,CLI-11830,SKU-00060,2023-01-02 06:01:23,Orgânico,Moda,Blusa de Tricô Edição Limitada Bege,2,249.88,499.76,0.0,499.76,192.26,0.0,Cartão de Crédito,Aprovado,307.5,11,False,Não se aplica
ORD-072403,CLI-14211,SKU-03111,2023-01-02 06:47:03,Google Ads,Lifestyle,Caderno Urban Branco,5,280.31,1401.55,0.0,1401.55,566.4,0.0,PIX,Aprovado,835.15,9,True,Produto com defeito
ORD-050830,CLI-01729,SKU-04179,2023-01-02 07:10:04,Google Ads,Moda,Top Delicado Dourado,4,377.22,1508.88,0.0,1508.88,534.69,0.0,Cartão de Crédito,Aprovado,974.19,8,False,Não se aplica
ORD-007796,CLI-11830,SKU-04294,2023-01-02 07:57:21,TikTok Ads,Moda,Jaqueta Oversize Azul,2,98.14,196.28,35.39,160.89,75.1,7.66,PIX,Aprovado,78.13,8,False,Não se aplica
ORD-039721,CLI-11830,SKU-04052,2023-01-02 08:10:40,Orgânico,Moda,Blusa de Tricô Oversize Branco,5,194.82,974.1,0.0,974.1,411.61,0.0,Cartão de Crédito,Aprovado,562.49,12,True,Tamanho errado
ORD-049132,CLI-11830,SKU-02324,2023-01-02 08:52:46,Email Marketing,Moda,Camisa Social Luxo Bege,3,230.37,691.11,0.0,691.11,283.22,0.0,PIX,Aprovado,407.89,7,False,Não se aplica
ORD-073291,CLI-11830,SKU-01476,2023-01-02 09:24:38,TikTok Ads,Moda,Calça Jeans Artesanal Dourado,3,54.14,162.42,0.0,162.42,76.37,37.68,Cartão de Crédito,Cancelado,48.37,5,False,Não se aplica
ORD-059844,CLI-01729,SKU-03556,2023-01-02 09:35:23,Marketplace,Beleza,Esfoliante Moderno Prata,6,135.16,810.96,0.0,810.96,319.38,44.89,Boleto,Aprovado,446.69,9,False,Não se aplica
ORD-056072,CLI-11830,SKU-00548,2023-01-02 09:55:29,Google Ads,Beleza,Sérum Facial Sport Azul,2,154.86,309.72,0.0,309.72,139.65,0.0,Cartão de Crédito,Aprovado,170.07,8,False,Não se aplica
ORD-019506,CLI-01729,SKU-00635,2023-01-02 10:22:20,TikTok Ads,Moda,Saia Clássico Prata,5,301.57,1507.85,0.0,1507.85,746.04,0.0,Cartão de Crédito,Aprovado,761.81,14,False,Não se aplica
ORD-017189,CLI-08001,SKU-01986,2023-01-02 10:31:28,Marketplace,Moda,Vestido Oversize Verde,4,216.91,867.64,0.0,867.64,319.35,49.74,Cartão de Crédito,Cancelado,498.55,16,False,Não se aplica
ORD-007733,CLI-11830,SKU-03795,2023-01-02 11:49:22,Email Marketing,Lifestyle,Vela Aromática Artesanal Bege,4,59.67,238.68,0.0,238.68,108.37,5.06,Cartão de Crédito,Aprovado,125.25,11,False,Não se aplica
ORD-033146,CLI-11830,SKU-04632,2023-01-02 12:54:42,TikTok Ads,Moda,Regata Artesanal Nude,4,221.07,884.28,94.53,789.75,286.21,0.0,Cartão de Crédito,Aprovado,503.54,2,False,Não se aplica
ORD-043614,CLI-05277,SKU-00295,2023-01-02 13:08:27,TikTok Ads,Beleza,Base Líquida Moderno Vermelho,4,76.09,304.36,19.77,284.59,124.26,0.0,PIX,Aprovado,160.33,14,False,Não se aplica
ORD-051553,CLI-02474,SKU-01251,2023-01-02 13:43:10,Google Ads,Moda,Vestido Premium Preto,2,104.57,209.14,29.78,179.36,86.19,5.46,PIX,Aprovado,87.71,1,False,Não se aplica
ORD-067312,CLI-11830,SKU-03039,2023-01-02 14:49:02,TikTok Ads,Lifestyle,Garrafa Térmica Clássico Azul,3,165.6,496.8,0.0,496.8,216.47,0.0,PIX,Aprovado,280.33,9,False,Não se aplica
ORD-035904,CLI-00339,SKU-00628,2023-01-02 14:51:41,TikTok Ads,Moda,Regata Edição Limitada Branco,6,105.05,630.3,187.17,443.13,248.1,0.0,Cartão de Crédito,Aprovado,195.03,13,True,Não gostei
ORD-004130,CLI-12360,SKU-02290,2023-01-02 15:28:37,Marketplace,Moda,Camiseta Edição Limitada Vermelho,3,291.02,873.06,258.64,614.42,282.9,48.12,Cartão de Crédito,Aprovado,283.4,15,False,Não se aplica
ORD-049071,CLI-01729,SKU-01463,2023-01-02 15:53:44,Google Ads,Moda,Camisa Social Luxo Nude,6,441.77,2650.62,0.0,2650.62,1306.66,0.0,Cartão de Crédito,Aprovado,1343.96,10,False,Não se aplica
ORD-003627,CLI-11830,SKU-04276,2023-01-02 16:41:51,Influenciador,Acessórios,Carteira Artesanal Azul,6,245.43,1472.58,0.0,1472.58,733.29,0.0,PIX,Aprovado,739.29,6,False,Não se aplica
ORD-024304,CLI-12360,SKU-02985,2023-01-02 17:33:01,Orgânico,Moda,Legging Luxo Dourado,2,590.23,1180.46,0.0,1180.46,560.2,0.0,Cartão de Crédito,Aprovado,620.26,4,True,Produto com defeito
ORD-058468,CLI-11830,SKU-02824,2023-01-02 18:39:57,Marketplace,Lifestyle,Garrafa Térmica Luxo Branco,6,286.26,1717.56,0.0,1717.56,703.11,12.78,Cartão de Crédito,Aprovado,1001.67,6,False,Não se aplica
ORD-071989,CLI-11830,SKU-01215,2023-01-02 18:56:03,TikTok Ads,Acessórios,Pochete Urban Preto,3,126.8,380.4,0.0,380.4,114.56,0.0,Cartão de Crédito,Aprovado,265.84,5,False,Não se aplica
ORD-010048,CLI-11830,SKU-01228,2023-01-02 19:17:09,Marketplace,Beleza,Batom Urban Preto,4,362.68,1450.72,0.0,1450.72,670.58,20.61,Cartão de Crédito,Aprovado,759.53,14,False,Não se aplica
ORD-018980,CLI-11830,SKU-00592,2023-01-02 19:20:50,Marketplace,Beleza,Esfoliante Moderno Rosa,6,302.66,1815.96,439.54,1376.42,750.08,33.83,Cartão de Crédito,Aprovado,592.51,13,False,Não se aplica
ORD-052645,CLI-01729,SKU-03427,2023-01-02 19:41:09,Orgânico,Moda,Jaqueta Edição Limitada Dourado,5,94.7,473.5,0.0,473.5,167.85,0.0,Cartão de Crédito,Aprovado,305.65,13,False,Não se aplica
ORD-048160,CLI-11830,SKU-03687,2023-01-02 21:18:58,Email Marketing,Moda,Jaqueta Luxo Preto,2,333.24,666.48,0.0,666.48,242.89,0.0,PIX,Aprovado,423.59,2,False,Não se aplica
ORD-004777,CLI-11830,SKU-00773,2023-01-02 22:52:20,Instagram Ads,Moda,Blusa de Tricô Moderno Dourado,1,110.56,110.56,0.0,110.56,54.26,27.64,Cartão de Crédito,Aprovado,28.66,1,False,Não se aplica
ORD-065858,CLI-01729,SKU-02199,2023-01-02 23:23:19,Google Ads,Moda,Top Urban Dourado,5,103.14,515.7,82.4,433.3,255.24,0.0,Cartão de Crédito,Aprovado,178.06,6,False,Não se aplica
ORD-038387,CLI-01729,SKU-00565,2023-01-02 23:33:06,Marketplace,Beleza,Blush Edição Limitada Vermelho,5,184.84,924.2,274.51,649.69,355.61,19.11,Boleto,Aprovado,274.97,14,True,Atraso na entrega
ORD-025480,CLI-01729,SKU-01816,2023-01-03 00:10:18,TikTok Ads,Lifestyle,Relógio de Parede Oversize Dourado,2,265.86,531.72,0.0,531.72,187.18,0.0,Cartão de Crédito,Aprovado,344.54,12,False,Não se aplica
ORD-013294,CLI-11830,SKU-04056,2023-01-03 00:59:08,Marketplace,Moda,Saia Sport Branco,5,78.9,394.5,0.0,394.5,189.95,6.45,Boleto,Aprovado,198.1,10,True,Atraso na entrega
ORD-036819,CLI-01729,SKU-03323,2023-01-03 01:26:00,Instagram Ads,Beleza,Base Líquida Oversize Dourado,6,183.27,1099.62,0.0,1099.62,411.15,0.0,Cartão de Crédito,Aprovado,688.47,4,False,Não se aplica
ORD-069795,CLI-11830,SKU-00351,2023-01-03 01:34:57,Marketplace,Beleza,Máscara de Cílios Sport Preto,6,101.65,609.9,0.0,609.9,286.58,14.58,PIX,Aprovado,308.74,8,False,Não se aplica
ORD-002328,CLI-11830,SKU-01881,2023-01-03 01:49:37,Orgânico,Lifestyle,Garrafa Térmica Slim Rosa,1,196.68,196.68,76.6,120.08,73.33,10.11,Boleto,Cancelado,36.64,10,False,Não se aplica
ORD-023358,CLI-11830,SKU-02652,2023-01-03 02:18:06,Instagram Ads,Beleza,Base Líquida Moderno Azul,1,247.94,247.94,0.0,247.94,115.52,46.45,Boleto,Aprovado,85.97,14,False,Não se aplica
ORD-007583,CLI-02474,SKU-00700,2023-01-03 02:27:54,TikTok Ads,Moda,Calça Jeans Sustentável Preto,4,114.53,458.12,92.21,365.91,224.13,0.0,Cartão de Crédito,Cancelado,141.78,1,False,Não se aplica
ORD-079333,CLI-11830,SKU-02926,2023-01-03 03:06:07,Influenciador,Beleza,Sérum Facial Básico Preto,5,469.73,2348.65,0.0,2348.65,1099.39,0.0,PIX,Aprovado,1249.26,14,False,Não se aplica
ORD-043834,CLI-04141,SKU-03626,2023-01-03 03:26:08,Influenciador,Beleza,Blush Sustentável Dourado,1,136.35,136.35,14.82,121.53,48.85,32.56,Cartão de Crédito,Aprovado,40.12,5,False,Não se aplica
ORD-013653,CLI-01729,SKU-01356,2023-01-03 03:49:14,Marketplace,Moda,Legging Clássico Nude,6,72.61,435.66,0.0,435.66,155.42,38.37,Cartão de Crédito,Aguardando,241.87,8,False,Não se aplica
ORD-024845,CLI-11830,SKU-02238,2023-01-03 05:04:21,TikTok Ads,Moda,Camiseta Slim Prata,2,105.32,210.64,0.0,210.64,94.85,57.24,Cartão de Crédito,Cancelado,58.55,3,False,Não se aplica
ORD-067903,CLI-12360,SKU-03474,2023-01-03 05:11:47,Orgânico,Beleza,Protetor Solar Edição Limitada Preto,2,107.35,214.7,18.98,195.72,77.44,23.0,PIX,Aprovado,95.28,3,False,Não se aplica
ORD-039540,CLI-11830,SKU-01484,2023-01-03 05:13:31,Instagram Ads,Acessórios,Bolsa de Couro Básico Branco,5,262.46,1312.3,0.0,1312.3,589.12,0.0,PIX,Aprovado,723.18,5,False,Não se aplica
ORD-050201,CLI-14600,SKU-00151,2023-01-03 05:26:50,Marketplace,Moda,Regata Urban Verde,2,285.04,570.08,0.0,570.08,193.61,21.12,Cartão de Crédito,Aprovado,355.35,7,False,Não se aplica
ORD-037366,CLI-11830,SKU-00275,2023-01-03 05:45:00,Email Marketing,Beleza,Creme Hidratante Premium Prata,4,101.41,405.64,0.0,405.64,198.15,0.0,Cartão de Crédito,Aprovado,207.49,10,False,Não se aplica
ORD-079492,CLI-01729,SKU-01952,2023-01-03 06:28:57,Google Ads,Moda,Top Premium Preto,2,96.04,192.08,64.2,127.88,67.45,43.08,PIX,Aprovado,17.35,3,False,Não se aplica
ORD-042153,CLI-11830,SKU-00012,2023-01-03 06:34:46,Google Ads,Moda,Camiseta Artesanal Prata,1,197.42,197.42,51.1,146.32,72.65,39.0,Cartão de Crédito,Aprovado,34.67,6,False,Não se aplica
ORD-070733,CLI-01729,SKU-02603,2023-01-03 06:53:18,Marketplace,Beleza,Óleo Corporal Sport Preto,2,148.43,296.86,0.0,296.86,111.48,42.59,Boleto,Cancelado,142.79,14,False,Não se aplica
ORD-069428,CLI-11830,SKU-00677,2023-01-03 06:59:12,Influenciador,Moda,Jaqueta Delicado Bege,6,280.38,1682.28,0.0,1682.28,616.21,0.0,Cartão de Crédito,Aprovado,1066.07,1,True,Produto com defeito
ORD-012528,CLI-11830,SKU-04822,2023-01-03 07:53:47,Marketplace,Beleza,Máscara de Cílios Luxo Bege,3,211.17,633.51,0.0,633.51,275.91,50.26,PIX,Aprovado,307.34,11,False,Não se aplica
ORD-030937,CLI-01729,SKU-04868,2023-01-03 08:29:19,Orgânico,Moda,Calça Jeans Edição Limitada Branco,1,79.44,79.44,0.0,79.44,28.08,45.61,Cartão de Crédito,Cancelado,5.75,10,False,Não se aplica
ORD-054540,CLI-11830,SKU-04213,2023-01-03 08:50:54,Instagram Ads,Lifestyle,Luminária Oversize Vermelho,3,164.65,493.95,0.0,493.95,163.34,0.0,PIX,Aprovado,330.61,10,False,Não se aplica
ORD-065657,CLI-05120,SKU-00644,2023-01-03 10:33:45,Marketplace,Lifestyle,Difusor Sport Prata,5,318.36,1591.8,0.0,1591.8,592.46,55.04,Cartão de Crédito,Aprovado,944.3,11,False,Não se aplica
ORD-056959,CLI-02474,SKU-04502,2023-01-03 11:16:08,Influenciador,Moda,Saia Premium Rosa,2,633.58,1267.16,0.0,1267.16,533.41,0.0,Boleto,Aprovado,733.75,7,False,Não se aplica
ORD-002912,CLI-01729,SKU-03899,2023-01-03 12:35:46,Instagram Ads,Lifestyle,Vela Aromática Sustentável Prata,5,323.77,1618.85,0.0,1618.85,689.39,0.0,Cartão de Crédito,Aprovado,929.46,13,False,Não se aplica
ORD-006755,CLI-11830,SKU-02777,2023-01-03 12:51:16,TikTok Ads,Moda,Saia Slim Azul,6,222.79,1336.74,0.0,1336.74,649.35,0.0,PIX,Aprovado,687.39,5,True,Tamanho errado
ORD-018433,CLI-12360,SKU-02257,2023-01-03 12:53:18,Instagram Ads,Moda,Moletom Premium Branco,2,582.0,1164.0,353.4,810.6,555.28,0.0,Cartão de Crédito,Aprovado,255.32,14,True,Produto com defeito
