sku_id,nome_produto,categoria,subcategoria,fornecedor_id,lead_time_reposicao,custo_unitario,preco_venda_sugerido,estoque_fisico,estoque_reservado,estoque_disponivel,ponto_pedido,data_ultima_entrada,status_disponibilidade,shelf_life_dias,volume_m3
SKU-00043,Pochete Básico Preto,Acessórios,Pochete,FORN-074,54,198.37,457.19,94,1,93,74,2024-02-27,Em Estoque,448,0.2464
SKU-00044,Esfoliante Premium Bege,Beleza,Esfoliante,FORN-020,54,52.37,104.59,285,53,232,67,2025-07-15,Em Estoque,619,0.1534
SKU-00045,Kit Skincare Sport Branco,Beleza,Kit Skincare,FORN-098,51,257.7,521.44,41,2,39,71,2023-09-03,Estoque Crítico,598,0.2258
SKU-00046,Creme Hidratante Premium Azul,Beleza,Creme Hidratante,FORN-037,9,287.14,668.02,351,29,322,77,2025-10-22,Em Estoque,382,0.2131
SKU-00047,Esfoliante Clássico Rosa,Beleza,Esfoliante,FORN-019,6,42.66,122.36,304,72,232,83,2024-02-15,Em Estoque,592,0.4714
SKU-00048,Blush Sustentável Branco,Beleza,Blush,FORN-077,46,357.98,993.49,309,32,277,16,2023-04-22,Em Estoque,201,0.4998
SKU-00049,Almofada Artesanal Preto,Lifestyle,Almofada,FORN-098,50,198.79,525.29,469,71,398,56,2025-07-21,Em Estoque,448,0.4846
SKU-00050,Batom Oversize Verde,Beleza,Batom,FORN-086,6,345.94,736.05,355,63,292,83,2025-07-27,Em Estoque,217,0.228
SKU-00051,Blusa de Tricô Básico Vermelho,Moda,Blusa de Tricô,FORN-066,5,269.91,666.18,930,185,745,137,2025-08-25,Em Estoque,448,0.1343
SKU-00052,Shorts Sustentável Dourado,Moda,Shorts,FORN-016,45,389.8,1003.42,245,39,206,13,2025-07-03,Em Estoque,448,0.4209
SKU-00053,Calça Jeans Urban Bege,Moda,Calça Jeans,FORN-064,9,213.37,434.74,494,62,432,126,2025-03-13,Em Estoque,448,0.3001
SKU-00054,Porta-Retrato Luxo Branco,Lifestyle,Porta-Retrato,FORN-036,11,149.15,426.62,136,0,136,82,2025-05-27,Em Estoque,448,0.4995
SKU-00055,Máscara de Cílios Sustentável Prata,Beleza,Máscara de Cílios,FORN-062,10,146.33,412.74,193,29,164,92,2023-12-08,Em Estoque,419,0.4282
SKU-00056,Óleo Corporal Sport Dourado,Beleza,Óleo Corporal,FORN-091,57,166.71,443.77,420,83,337,48,2024-01-05,Em Estoque,282,0.4372
SKU-00057,Perfume Sustentável Preto,Beleza,Perfume,FORN-093,7,175.79,465.43,79,2,77,130,2024-06-20,Estoque Crítico,587,0.3253
SKU-00058,Cinto Luxo Prata,Acessórios,Cinto,FORN-049,10,258.18,779.68,249,69,180,19,2025-02-08,Em Estoque,448,0.4605
SKU-00059,Meias Básico Vermelho,Acessórios,Meias,FORN-013,15,287.48,506.2,85,22,63,86,2023-01-11,Estoque Crítico,448,0.3983
SKU-00060,Blusa de Tricô Edição Limitada Bege,Moda,Blusa de Tricô,FORN-032,13,176.58,475.16,480,97,383,71,2024-10-05,Em Estoque,448,0.3193
SKU-00061,Esfoliante Premium Dourado,Beleza,Esfoliante,FORN-037,15,227.71,391.25,483,88,395,86,2025-07-23,Em Estoque,489,0.1004
SKU-00062,Blush Básico Azul,Beleza,Blush,FORN-049,14,156.4,324.28,358,37,321,15,2025-07-09,Descontinuado,230,0.4554
SKU-00063,Almofada Delicado Azul,Lifestyle,Almofada,FORN-078,10,103.22,196.55,128,8,120,34,2025-11-02,Em Estoque,448,0.221
SKU-00064,Sombra Clássico Branco,Beleza,Sombra,FORN-038,10,304.04,571.91,67,17,50,103,2025-09-09,Estoque Crítico,348,0.1292
SKU-00065,Kit Chá Delicado Rosa,Lifestyle,Kit Chá,FORN-096,10,325.61,764.97,38,2,36,67,2025-12-22,Estoque Crítico,448,0.49
SKU-00066,Lenço Oversize Branco,Acessórios,Lenço,FORN-051,5,120.49,216.61,188,43,145,77,2025-07-27,Em Estoque,448,0.1864
SKU-00067,Kit Chá Premium Nude,Lifestyle,Kit Chá,FORN-072,10,367.8,718.75,32,7,25,87,2025-07-04,Estoque Crítico,448,0.0707
SKU-00068,Colar Sustentável Branco,Acessórios,Colar,FORN-013,8,357.16,648.98,232,47,185,148,2024-10-24,Em Estoque,448,0.4428
SKU-00069,Kit Chá Artesanal Vermelho,Lifestyle,Kit Chá,FORN-036,5,282.31,549.84,227,30,197,102,2023-11-12,Em Estoque,448,0.4889
SKU-00070,Batom Slim Azul,Beleza,Batom,FORN-016,59,54.84,106.36,327,76,251,15,2023-06-08,Em Estoque,390,0.0352
SKU-00071,Garrafa Térmica Artesanal Azul,Lifestyle,Garrafa Térmica,FORN-030,10,314.26,899.36,305,0,305,80,2023-03-18,Em Estoque,448,0.0881
SKU-00072,Vela Aromática Clássico Preto,Lifestyle,Vela Aromática,FORN-046,52,243.76,396.17,135,3,132,42,2025-07-17,Em Estoque,448,0.0327
SKU-00073,Óleo Corporal Exclusivo Nude,Beleza,Óleo Corporal,FORN-014,12,211.46,658.2,22,5,17,143,2024-08-21,Estoque Crítico,211,0.0314
SKU-00074,Batom Edição Limitada Branco,Beleza,Batom,FORN-063,12,47.93,82.88,311,18,293,26,2023-05-20,Em Estoque,512,0.1911
SKU-00075,Creme Hidratante Sustentável Prata,Beleza,Creme Hidratante,FORN-078,11,57.69,157.08,436,55,381,120,2024-04-14,Em Estoque,644,0.2
SKU-00076,Caderno Edição Limitada Verde,Lifestyle,Caderno,FORN-086,9,162.23,299.19,472,121,351,27,2023-02-03,Em Estoque,448,0.3725
SKU-00077,Máscara de Cílios Exclusivo Preto,Beleza,Máscara de Cílios,FORN-076,55,274.61,619.88,447,108,339,23,2024-10-10,Em Estoque,397,0.0782
SKU-00078,Base Líquida Oversize Prata,Beleza,Base Líquida,FORN-048,6,309.79,780.22,413,54,359,16,2025-11-27,Em Estoque,209,0.091
SKU-00079,Almofada Oversize Verde,Lifestyle,Almofada,FORN-001,7,350.55,878.52,205,4,201,46,2025-11-01,Em Estoque,448,0.2657
SKU-00080,Blush Oversize Bege,Beleza,Blush,FORN-048,9,294.21,836.42,290,76,214,31,2023-03-06,Em Estoque,230,0.3373
SKU-00081,Top Edição Limitada Dourado,Moda,Top,FORN-078,12,177.39,345.01,840,28,812,82,2025-11-19,Em Estoque,448,0.3339
SKU-00082,Moletom Artesanal Preto,Moda,Moletom,FORN-001,8,134.54,260.74,140,18,122,93,2023-01-16,Em Estoque,448,0.0887
SKU-00083,Sombra Moderno Prata,Beleza,Sombra,FORN-072,15,326.36,559.81,441,10,431,121,2023-08-03,Em Estoque,619,0.2871
SKU-00084,Luminária Slim Branco,Lifestyle,Luminária,FORN-052,45,387.16,725.92,485,117,368,102,2023-07-28,Em Estoque,448,0.2184
SKU-00085,Base Líquida Edição Limitada Rosa,Beleza,Base Líquida,FORN-096,10,104.2,296.61,39,8,31,39,2025-09-07,Estoque Crítico,537,0.1762
SKU-00086,Cinto Luxo Bege,Acessórios,Cinto,FORN-031,6,75.65,144.92,308,19,289,29,2023-11-16,Em Estoque,448,0.2823
SKU-00087,Esfoliante Artesanal Nude,Beleza,Esfoliante,FORN-042,55,77.36,132.23,226,38,188,80,2025-01-12,Em Estoque,642,0.0198
SKU-00088,Creme Hidratante Básico Branco,Beleza,Creme Hidratante,FORN-079,14,212.69,497.77,283,5,278,125,2025-11-07,Em Estoque,667,0.2512
SKU-00089,Pochete Básico Verde,Acessórios,Pochete,FORN-092,47,211.73,397.23,126,28,98,122,2025-09-20,Estoque Crítico,448,0.0802
SKU-00090,Creme Hidratante Edição Limitada Vermelho,Beleza,Creme Hidratante,FORN-100,55,277.98,468.06,323,82,241,95,2023-06-04,Em Estoque,438,0.3621
SKU-00091,Espelho de Mesa Luxo Bege,Lifestyle,Espelho de Mesa,FORN-043,6,241.44,440.94,179,19,160,110,2023-10-23,Em Estoque,448,0.1555
SKU-00092,Condicionador Oversize Bege,Beleza,Condicionador,FORN-086,15,366.73,641.6,343,54,289,140,2024-01-12,Em Estoque,399,0.1715
SKU-00093,Garrafa Térmica Moderno Bege,Lifestyle,Garrafa Térmica,FORN-020,47,132.4,378.8,259,69,190,144,2023-11-11,Em Estoque,448,0.3094
SKU-00094,Máscara de Cílios Clássico Bege,Beleza,Máscara de Cílios,FORN-089,14,327.44,610.63,224,5,219,115,2024-11-24,Em Estoque,634,0.3057
SKU-00095,Kit Chá Moderno Prata,Lifestyle,Kit Chá,FORN-031,9,386.93,1104.68,462,49,413,104,2025-10-15,Em Estoque,448,0.1416
SKU-00096,Perfume Edição Limitada Bege,Beleza,Perfume,FORN-026,49,351.74,592.15,0,0,0,36,2025-09-28,Ruptura,265,0.3818
SKU-00097,Regata Clássico Vermelho,Moda,Regata,FORN-012,8,330.35,996.14,27,6,21,138,2024-04-13,Estoque Crítico,448,0.4973
SKU-00098,Sérum Facial Oversize Branco,Beleza,Sérum Facial,FORN-092,55,320.72,583.76,146,30,116,45,2025-08-15,Em Estoque,199,0.1287
SKU-00099,Planta Artificial Sport Nude,Lifestyle,Planta Artificial,FORN-068,11,62.25,128.29,154,7,147,22,2023-07-21,Em Estoque,448,0.2291
SKU-00100,Saia Artesanal Prata,Moda,Saia,FORN-003,15,215.84,428.9,147,0,147,100,2023-10-14,Em Estoque,448,0.3344
SKU-00101,Óleo Corporal Básico Prata,Beleza,Óleo Corporal,FORN-070,45,168.37,396.04,325,49,276,105,2024-12-01,Em Estoque,426,0.3667
SKU-00102,Condicionador Artesanal Verde,Beleza,Condicionador,FORN-018,46,153.87,329.54,329,22,307,128,2025-08-21,Em Estoque,648,0.0195
SKU-00103,Jaqueta Premium Verde,Moda,Jaqueta,FORN-040,13,171.33,497.65,484,48,436,83,2024-01-28,Em Estoque,448,0.1373
SKU-00104,Luminária Edição Limitada Dourado,Lifestyle,Luminária,FORN-050,55,390.01,933.65,254,47,207,142,2024-02-24,Em Estoque,448,0.2159
SKU-00105,Óculos de Sol Exclusivo Rosa,Acessórios,Óculos de Sol,FORN-042,48,50.43,134.02,156,28,128,119,2023-12-15,Em Estoque,448,0.0221
SKU-00106,Brinco Artesanal Vermelho,Acessórios,Brinco,FORN-036,15,392.41,1223.0,38,10,28,113,2024-09-26,Estoque Crítico,448,0.3752
SKU-00107,Camiseta Clássico Nude,Moda,Camiseta,FORN-087,12,33.22,56.73,797,92,705,108,2025-01-20,Em Estoque,448,0.2255
SKU-00108,Blush Delicado Branco,Beleza,Blush,FORN-074,49,221.19,494.77,332,35,297,73,2023-01-24,Em Estoque,300,0.1316
SKU-00109,Saia Moderno Nude,Moda,Saia,FORN-037,12,96.07,174.58,75,22,53,123,2023-11-28,Estoque Crítico,448,0.4933
SKU-00110,Difusor Exclusivo Prata,Lifestyle,Difusor,FORN-038,9,343.52,940.87,474,44,430,102,2025-04-04,Em Estoque,448,0.3962
SKU-00111,Saia Premium Verde,Moda,Saia,FORN-071,14,160.19,462.29,488,16,472,89,2024-12-24,Em Estoque,448,0.206
SKU-00112,Kit Skincare Básico Bege,Beleza,Kit Skincare,FORN-041,15,48.18,113.0,264,44,220,42,2025-11-19,Em Estoque,312,0.2169
SKU-00113,Bolsa de Couro Luxo Branco,Acessórios,Bolsa de Couro,FORN-067,49,135.57,252.04,478,57,421,98,2025-05-28,Em Estoque,448,0.099
SKU-00114,Colar Clássico Rosa,Acessórios,Colar,FORN-079,13,55.5,145.72,303,74,229,49,2023-11-20,Em Estoque,448,0.303
SKU-00115,Espelho de Mesa Premium Preto,Lifestyle,Espelho de Mesa,FORN-011,5,380.45,1078.06,135,13,122,116,2025-11-01,Em Estoque,448,0.314
SKU-00116,Shorts Sustentável Azul,Moda,Shorts,FORN-088,11,133.02,228.36,825,123,702,128,2023-06-20,Em Estoque,448,0.4309
SKU-00117,Blusa de Tricô Edição Limitada Bege,Moda,Blusa de Tricô,FORN-098,56,215.69,381.75,247,34,213,125,2023-03-04,Em Estoque,448,0.4727
SKU-00118,Mochila Moderno Bege,Acessórios,Mochila,FORN-042,55,92.14,170.91,263,59,204,137,2024-08-01,Em Estoque,448,0.1972
SKU-00119,Protetor Solar Moderno Nude,Beleza,Protetor Solar,FORN-046,46,39.21,93.78,0,0,0,83,2025-01-28,Ruptura,317,0.4413
SKU-00120,Luminária Oversize Preto,Lifestyle,Luminária,FORN-052,46,236.71,452.46,283,36,247,28,2024-09-15,Em Estoque,448,0.1406
SKU-00121,Cinto Artesanal Branco,Acessórios,Cinto,FORN-017,48,169.68,487.29,173,35,138,103,2023-04-20,Em Estoque,448,0.2505
SKU-00122,Vestido Sport Verde,Moda,Vestido,FORN-061,59,76.6,232.02,143,39,104,91,2023-07-20,Em Estoque,448,0.1503
SKU-00123,Regata Exclusivo Dourado,Moda,Regata,FORN-091,54,200.46,326.07,339,53,286,88,2025-12-21,Descontinuado,448,0.2378
SKU-00124,Chapéu Artesanal Azul,Acessórios,Chapéu,FORN-093,5,241.74,452.74,322,92,230,107,2023-11-08,Descontinuado,448,0.4742
SKU-00125,Camiseta Sustentável Verde,Moda,Camiseta,FORN-054,49,176.92,340.79,513,120,393,25,2025-03-17,Em Estoque,448,0.1632
SKU-00126,Planta Artificial Edição Limitada Verde,Lifestyle,Planta Artificial,FORN-023,12,366.61,787.38,181,43,138,77,2025-08-07,Em Estoque,448,0.1402
SKU-00127,Shorts Delicado Rosa,Moda,Shorts,FORN-091,51,282.29,672.53,491,70,421,83,2023-10-22,Em Estoque,448,0.448
SKU-00128,Óleo Corporal Delicado Bege,Beleza,Óleo Corporal,FORN-038,5,129.3,354.62,177,28,149,75,2025-08-07,Em Estoque,457,0.4666
SKU-00129,Porta-Retrato Básico Nude,Lifestyle,Porta-Retrato,FORN-095,14,110.93,186.5,463,135,328,67,2025-04-02,Em Estoque,448,0.1658
SKU-00130,Esfoliante Delicado Bege,Beleza,Esfoliante,FORN-001,13,391.61,725.54,334,60,274,132,2025-04-25,Em Estoque,508,0.1434
SKU-00131,Calça Jeans Urban Nude,Moda,Calça Jeans,FORN-030,13,300.7,890.23,38,2,36,116,2023-01-27,Estoque Crítico,448,0.1991
SKU-00132,Sombra Luxo Rosa,Beleza,Sombra,FORN-005,45,133.39,342.07,475,85,390,82,2024-11-18,Em Estoque,317,0.4257
SKU-00133,Protetor Solar Delicado Branco,Beleza,Protetor Solar,FORN-043,7,297.83,785.45,367,23,344,13,2025-06-26,Em Estoque,377,0.0886
SKU-00134,Mochila Luxo Vermelho,Acessórios,Mochila,FORN-066,10,52.96,141.45,94,4,90,132,2024-04-01,Estoque Crítico,448,0.1311
SKU-00135,Shorts Oversize Rosa,Moda,Shorts,FORN-075,45,119.39,259.71,521,119,402,88,2023-07-22,Em Estoque,448,0.4477
SKU-00136,Almofada Sport Branco,Lifestyle,Almofada,FORN-082,54,159.67,311.89,490,34,456,132,2023-08-24,Em Estoque,448,0.1874
SKU-00137,Kit Chá Delicado Prata,Lifestyle,Kit Chá,FORN-086,8,309.51,832.13,305,10,295,144,2024-09-23,Em Estoque,448,0.4587
SKU-00138,Regata Exclusivo Azul,Moda,Regata,FORN-074,49,82.52,244.85,610,183,427,135,2023-09-15,Em Estoque,448,0.2273
SKU-00139,Blush Artesanal Preto,Beleza,Blush,FORN-072,12,275.65,576.96,11,3,8,75,2023-12-07,Estoque Crítico,254,0.0236
SKU-00140,Calça Jeans Exclusivo Preto,Moda,Calça Jeans,FORN-009,12,32.06,72.27,1056,215,841,105,2024-08-28,Em Estoque,448,0.1894
SKU-00141,Top Luxo Prata,Moda,Top,FORN-018,56,65.08,207.51,402,93,309,67,2023-01-10,Em Estoque,448,0.3598
SKU-00142,Batom Luxo Azul,Beleza,Batom,FORN-032,12,151.54,309.3,479,28,451,18,2025-07-20,Em Estoque,196,0.1211
SKU-00143,Camisa Social Premium Dourado,Moda,Camisa Social,FORN-077,46,113.0,188.8,622,14,608,45,2025-05-08,Em Estoque,448,0.366
SKU-00144,Camisa Social Delicado Verde,Moda,Camisa Social,FORN-031,9,352.98,1121.46,707,70,637,25,2025-10-24,Em Estoque,448,0.3134
SKU-00145,Blush Premium Verde,Beleza,Blush,FORN-083,15,164.84,402.07,356,53,303,114,2023-05-13,Em Estoque,730,0.2373
SKU-00146,Almofada Luxo Bege,Lifestyle,Almofada,FORN-060,5,233.71,735.83,285,67,218,44,2024-04-09,Em Estoque,448,0.3237
SKU-00147,Brinco Básico Prata,Acessórios,Brinco,FORN-093,8,39.58,87.21,309,77,232,20,2023-04-26,Em Estoque,448,0.3624
SKU-00148,Blush Moderno Verde,Beleza,Blush,FORN-039,5,100.49,191.34,379,15,364,132,2023-12-20,Em Estoque,586,0.4576
SKU-00149,Condicionador Slim Vermelho,Beleza,Condicionador,FORN-060,13,266.51,557.93,184,32,152,137,2024-02-26,Em Estoque,660,0.3811
SKU-00150,Jaqueta Oversize Verde,Moda,Jaqueta,FORN-053,5,233.76,456.78,966,213,753,85,2023-04-11,Em Estoque,448,0.2853
SKU-00151,Regata Urban Verde,Moda,Regata,FORN-033,60,387.27,1017.25,502,90,412,53,2023-12-18,Em Estoque,448,0.4585
SKU-00152,Esfoliante Premium Prata,Beleza,Esfoliante,FORN-005,47,379.17,1012.06,0,0,0,115,2023-11-08,Ruptura,334,0.0056
SKU-00153,Óleo Corporal Premium Nude,Beleza,Óleo Corporal,FORN-082,60,270.53,439.66,272,70,202,115,2023-01-17,Em Estoque,473,0.0096
SKU-00154,Relógio de Parede Edição Limitada Bege,Lifestyle,Relógio de Parede,FORN-014,6,219.27,435.37,317,67,250,74,2024-05-26,Em Estoque,448,0.1872
SKU-00155,Kit Skincare Moderno Azul,Beleza,Kit Skincare,FORN-039,15,334.66,578.62,439,8,431,33,2024-07-13,Em Estoque,237,0.3187
SKU-00156,Difusor Sustentável Vermelho,Lifestyle,Difusor,FORN-083,10,235.03,698.68,48,14,34,145,2023-04-07,Estoque Crítico,448,0.4507
SKU-00157,Espelho de Mesa Sustentável Rosa,Lifestyle,Espelho de Mesa,FORN-006,47,280.08,573.77,278,72,206,18,2023-06-01,Em Estoque,448,0.2939
SKU-00158,Luminária Básico Rosa,Lifestyle,Luminária,FORN-021,52,235.34,696.4,346,69,277,94,2024-12-05,Em Estoque,448,0.345
SKU-00159,Legging Oversize Preto,Moda,Legging,FORN-013,11,108.21,186.3,619,152,467,111,2024-01-21,Em Estoque,448,0.4963
SKU-00160,Óleo Corporal Exclusivo Vermelho,Beleza,Óleo Corporal,FORN-056,7,278.28,739.41,43,12,31,85,2023-12-03,Estoque Crítico,264,0.1347
SKU-00161,Condicionador Urban Bege,Beleza,Condicionador,FORN-095,11,140.34,248.47,2,1,1,123,2024-05-04,Estoque Crítico,315,0.0446
SKU-00162,Perfume Exclusivo Prata,Beleza,Perfume,FORN-053,6,29.98,64.94,47,9,38,93,2024-01-10,Estoque Crítico,603,0.1945
SKU-00163,Regata Moderno Nude,Moda,Regata,FORN-067,50,280.42,524.72,275,63,212,47,2023-03-14,Em Estoque,448,0.1506
SKU-00164,Caderno Slim Azul,Lifestyle,Caderno,FORN-093,15,208.4,539.06,234,13,221,44,2024-01-13,Em Estoque,448,0.3105
SKU-00165,Caderno Sustentável Verde,Lifestyle,Caderno,FORN-056,15,390.21,709.32,164,38,126,61,2024-06-06,Em Estoque,448,0.4844
SKU-00166,Legging Urban Dourado,Moda,Legging,FORN-074,52,143.84,294.65,402,119,283,61,2025-09-06,Em Estoque,448,0.2755
SKU-00167,Pochete Sport Azul,Acessórios,Pochete,FORN-057,9,335.89,574.59,434,104,330,137,2023-11-10,Em Estoque,448,0.3297
SKU-00168,Luminária Básico Dourado,Lifestyle,Luminária,FORN-077,60,241.25,592.27,472,107,365,149,2023-06-23,Em Estoque,448,0.2689
SKU-00169,Base Líquida Básico Azul,Beleza,Base Líquida,FORN-085,56,83.21,214.71,0,0,0,112,2024-07-04,Ruptura,444,0.1118
SKU-00170,Planta Artificial Artesanal Nude,Lifestyle,Planta Artificial,FORN-029,59,162.17,379.62,347,75,272,138,2023-06-01,Em Estoque,448,0.1484
SKU-00171,Carteira Básico Bege,Acessórios,Carteira,FORN-045,9,150.37,429.28,266,61,205,99,2024-02-15,Em Estoque,448,0.2268
SKU-00172,Camiseta Delicado Branco,Moda,Camiseta,FORN-003,10,266.23,714.41,168,47,121,72,2025-03-18,Em Estoque,448,0.2804
SKU-00173,Pulseira Delicado Vermelho,Acessórios,Pulseira,FORN-081,50,90.83,240.85,202,1,201,60,2024-10-14,Em Estoque,448,0.3527
SKU-00174,Legging Delicado Branco,Moda,Legging,FORN-074,48,323.81,796.26,374,58,316,39,2024-11-28,Em Estoque,448,0.483
SKU-00175,Moletom Artesanal Vermelho,Moda,Moletom,FORN-076,48,152.21,449.45,1089,152,937,31,2025-03-11,Em Estoque,448,0.1534
SKU-00176,Legging Clássico Prata,Moda,Legging,FORN-050,58,246.64,621.46,1050,275,775,54,2025-03-16,Em Estoque,448,0.0944
